measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,79,Finland,1,Male,37,20+ years,294,All causes,87,Household air pollution from solid fuels,1,Number,2019,1.0576570155079832,3.9977499946060044,0.09156577320868736
1,Deaths,79,Finland,2,Female,37,20+ years,294,All causes,87,Household air pollution from solid fuels,1,Number,2019,1.2508506500572856,4.6785972019245055,0.11960075525054403
1,Deaths,79,Finland,1,Male,37,20+ years,294,All causes,87,Household air pollution from solid fuels,2,Percent,2019,3.767188689359347e-05,0.00014392904951096488,3.2874421948409813e-06
1,Deaths,79,Finland,2,Female,37,20+ years,294,All causes,87,Household air pollution from solid fuels,2,Percent,2019,4.500145627964224e-05,0.00016979172673773908,4.288615482467819e-06
1,Deaths,79,Finland,1,Male,37,20+ years,294,All causes,87,Household air pollution from solid fuels,3,Rate,2019,0.049634092604997626,0.18760778828531852,0.004297030133824043
1,Deaths,79,Finland,2,Female,37,20+ years,294,All causes,87,Household air pollution from solid fuels,3,Rate,2019,0.05603663280623041,0.20959563273240858,0.00535797267644675
1,Deaths,16,Philippines,1,Male,37,20+ years,294,All causes,87,Household air pollution from solid fuels,1,Number,2019,20796.899806651014,33423.880159676286,11424.98808995201
1,Deaths,16,Philippines,2,Female,37,20+ years,294,All causes,87,Household air pollution from solid fuels,1,Number,2019,18245.599379161475,26648.562377875485,11100.671869820168
1,Deaths,16,Philippines,1,Male,37,20+ years,294,All causes,87,Household air pollution from solid fuels,2,Percent,2019,0.06528825550268226,0.09624246355366435,0.03771531329033102
1,Deaths,16,Philippines,2,Female,37,20+ years,294,All causes,87,Household air pollution from solid fuels,2,Percent,2019,0.0762015413086566,0.10338200016647192,0.04950795765177967
1,Deaths,16,Philippines,1,Male,37,20+ years,294,All causes,87,Household air pollution from solid fuels,3,Rate,2019,28.807152674227186,46.29761299407433,15.825501842501511
1,Deaths,16,Philippines,2,Female,37,20+ years,294,All causes,87,Household air pollution from solid fuels,3,Rate,2019,24.63715808265515,35.98373669922093,14.989313422764173
1,Deaths,14,Maldives,1,Male,37,20+ years,294,All causes,87,Household air pollution from solid fuels,1,Number,2019,12.415213797886834,24.962839035004027,4.937283771349907
1,Deaths,14,Maldives,2,Female,37,20+ years,294,All causes,87,Household air pollution from solid fuels,1,Number,2019,9.039905090040351,16.651001158307903,4.057459289763626
1,Deaths,14,Maldives,1,Male,37,20+ years,294,All causes,87,Household air pollution from solid fuels,2,Percent,2019,0.015210281549065157,0.029974021688443323,0.006043444095171784
1,Deaths,14,Maldives,2,Female,37,20+ years,294,All causes,87,Household air pollution from solid fuels,2,Percent,2019,0.0173656812175888,0.031072170322063244,0.00767230660426397
1,Deaths,14,Maldives,1,Male,37,20+ years,294,All causes,87,Household air pollution from solid fuels,3,Rate,2019,5.464351455741986,10.986981621177927,2.1730639683369133
1,Deaths,14,Maldives,2,Female,37,20+ years,294,All causes,87,Household air pollution from solid fuels,3,Rate,2019,6.8990508409505455,12.707666994253787,3.0965610419966683
1,Deaths,138,North Africa and Middle East,1,Male,37,20+ years,294,All causes,87,Household air pollution from solid fuels,1,Number,2019,18250.72234320916,26702.617455285792,11375.202001422724
1,Deaths,138,North Africa and Middle East,2,Female,37,20+ years,294,All causes,87,Household air pollution from solid fuels,1,Number,2019,20196.355172285173,27697.796679574116,13983.012977517496
1,Deaths,138,North Africa and Middle East,1,Male,37,20+ years,294,All causes,87,Household air pollution from solid fuels,2,Percent,2019,0.011836611982276996,0.016809746041429582,0.007477838045416263
1,Deaths,138,North Africa and Middle East,2,Female,37,20+ years,294,All causes,87,Household air pollution from solid fuels,2,Percent,2019,0.01717175560798279,0.02258179567278736,0.012238275227217018
1,Deaths,138,North Africa and Middle East,1,Male,37,20+ years,294,All causes,87,Household air pollution from solid fuels,3,Rate,2019,4.150966993257181,6.073276531529007,2.5871900937174632
1,Deaths,138,North Africa and Middle East,2,Female,37,20+ years,294,All causes,87,Household air pollution from solid fuels,3,Rate,2019,4.981597964245368,6.831890525593126,3.449025746903431
1,Deaths,75,Austria,1,Male,37,20+ years,294,All causes,87,Household air pollution from solid fuels,1,Number,2019,3.7809989162211135,10.786288609355811,0.8184297156737564
1,Deaths,75,Austria,2,Female,37,20+ years,294,All causes,87,Household air pollution from solid fuels,1,Number,2019,4.990521702432189,14.607525327139575,1.0840291374898545
1,Deaths,75,Austria,1,Male,37,20+ years,294,All causes,87,Household air pollution from solid fuels,2,Percent,2019,9.501308507351868e-05,0.0002740614658304005,2.0642050515304633e-05
1,Deaths,75,Austria,2,Female,37,20+ years,294,All causes,87,Household air pollution from solid fuels,2,Percent,2019,0.00011818259409266451,0.00034740442201979,2.5817505226883672e-05
1,Deaths,75,Austria,1,Male,37,20+ years,294,All causes,87,Household air pollution from solid fuels,3,Rate,2019,0.10826738985239219,0.3088610549237328,0.023435407165414604
1,Deaths,75,Austria,2,Female,37,20+ years,294,All causes,87,Household air pollution from solid fuels,3,Rate,2019,0.1355921284973025,0.3968854499159493,0.02945299647403779
1,Deaths,12,Lao People's Democratic Republic,1,Male,37,20+ years,294,All causes,87,Household air pollution from solid fuels,1,Number,2019,2869.9371059013833,3829.77685167456,1937.724310960352
